param U := 100;
param N := 9;
param E := 18;
param S := 100;

param	A: 1 2 3 4 5 6 7 8 9:=
		1	 1 0 0 0 0 0 0 0 0
		2	 0 0 0 1 0 0 0 0 0
		3	 0 0 0 0 0 0 1 0 0
		4	 0 0 0 0 0 0 0 1 0
		5	 0 0 0 1 0 0 0 0 0
		6	 1 0 0 0 0 0 0 0 0
		7	 0 0 0 0 0 0 0 1 0
		8	 0 0 0 0 1 0 0 0 0
		9	 0 1 0 0 0 0 0 0 0
		10	 0 0 1 0 0 0 0 0 0
		11	 0 0 0 0 0 1 0 0 0
		12	 1 0 0 0 0 0 0 0 0
		13	 0 0 0 0 1 0 0 0 0
		14	 0 0 1 0 0 0 0 0 0
		15	 0 0 0 0 0 0 1 0 0
		16	 0 0 0 0 1 0 0 0 0
		17	 0 0 0 0 0 0 0 1 0
		18	 0 0 0 0 1 0 0 0 0;

param	B: 1 2 3 4 5 6 7 8 9:=
		1	 0 0 0 1 0 0 0 0 0
		2	 0 0 0 0 0 0 1 0 0
		3	 0 0 0 0 0 0 0 1 0
		4	 0 0 0 0 0 0 0 0 1
		5	 0 0 0 0 1 0 0 0 0
		6	 0 1 0 0 0 0 0 0 0
		7	 0 0 0 0 1 0 0 0 0
		8	 0 1 0 0 0 0 0 0 0
		9	 0 0 1 0 0 0 0 0 0
		10	 0 0 0 0 0 1 0 0 0
		11	 0 0 0 0 0 0 0 0 1
		12	 0 0 0 0 1 0 0 0 0
		13	 0 0 0 0 0 0 0 0 1
		14	 0 1 0 0 0 0 0 0 0
		15	 0 0 1 0 0 0 0 0 0
		16	 0 0 0 0 0 1 0 0 0
		17	 0 0 0 0 0 0 1 0 0
		18	 0 0 0 1 0 0 0 0 0;

param	C :=
		1	216447077.83
		2	221651971.78
		3	155155599.02
		4	163274630.69
		5	142081204.79
		6	199466964.97
		7	145321108.31
		8	225290901.79
		9	187515831.52
		10	132436790.66
		11	173983222.00
		12	202471937.75
		13	148523980.41
		14	178486059.39
		15	136122704.74
		16	216578804.38
		17	174162419.42
		18	168017049.24;

param	XI :=
		1	0.00
		2	0.00
		3	0.00
		4	0.00
		5	0.00
		6	0.00
		7	0.00
		8	0.00
		9	0.00
		10	0.00
		11	0.00
		12	0.00
		13	0.00
		14	0.00
		15	0.00
		16	0.00
		17	0.00
		18	0.00;

param	L :=
		1	4.33
		2	7.60
		3	8.34
		4	9.82
		5	8.93
		6	7.17
		7	5.99
		8	6.12
		9	4.47
		10	7.34
		11	4.99
		12	5.77
		13	9.04
		14	6.18
		15	6.04
		16	8.26
		17	4.19
		18	6.83;

param	N_M :=
		1	498510127437.73
		2	699975421050.80
		3	660940802996.54
		4	510299690886.90
		5	1120395688346.95
		6	435039927161.90
		7	269661425430.04
		8	1203252031503.71
		9	930450804731.04;

param	N_C :=
		1	5379293138.95
		2	9685241378.79
		3	4540588652.09
		4	1716018141.58
		5	4162666819.72
		6	2472716463.45
		7	9848501389.31
		8	8925653657.94
		9	5446571213.00;

param	N_K :=
		1	58
		2	62
		3	81
		4	47
		5	74
		6	40
		7	44
		8	35
		9	97;

param	S_M :=
		1	169567661179.84
		2	280978215288.04
		3	459276546593.50
		4	375713248326.50
		5	214388001502.68
		6	268345395871.20
		7	327168298903.07
		8	487052634237.02
		9	324284196562.55
		10	489145684526.21
		11	168396287008.51
		12	194362146339.61
		13	326517595824.36
		14	361325976761.27
		15	485548505638.50
		16	454190259330.13
		17	247290338665.88
		18	236731536487.57
		19	440268614503.26
		20	255477534915.15
		21	366563081177.26
		22	277424194893.73
		23	343576074600.00
		24	413768529512.07
		25	487190399044.98
		26	249307213551.63
		27	369089719602.31
		28	423072010370.00
		29	378984058540.26
		30	422452032503.29
		31	206809404736.70
		32	227400484960.96
		33	163985858909.86
		34	426429805813.58
		35	449109697745.31
		36	430369364821.71
		37	402085386840.02
		38	306847449146.23
		39	321078550306.75
		40	323253376983.76
		41	497487414670.05
		42	494614497607.16
		43	304072520706.97
		44	402268554623.79
		45	474638092498.50
		46	380784035472.24
		47	272909698897.50
		48	148818321967.67
		49	352114708704.52
		50	406951624420.24
		51	205357996279.04
		52	149294493842.27
		53	389071514049.30
		54	207758421680.06
		55	205809643588.40
		56	180521395556.03
		57	443186922899.03
		58	325118915953.23
		59	207532918651.25
		60	291075430308.10
		61	268857084148.94
		62	343203648105.11
		63	387515783515.74
		64	284816148193.03
		65	254702193801.98
		66	121533854476.93
		67	115328031334.37
		68	174262471838.06
		69	111771953538.26
		70	389389708239.99
		71	207557826250.03
		72	449700134066.51
		73	153167509309.76
		74	421157598407.68
		75	328475977074.90
		76	407460545521.14
		77	422783144358.23
		78	240418401947.94
		79	178054323317.92
		80	198157312095.05
