param p := 7;          #number of demands
param n := 4;	       #number of vertices
param e := 8;		   #number of edges
param s := 5;		   #number of different services


param U_N:	1	2	3	4:=
		1	1	1	1	0
		2	1	1	0	0
		3	1	0	1	0
		4	0	1	1	0
		5	1	0	0	0
		6	0	1	0	0
		7	0	0	1	0;

param U_S :=
		1	1
		2	2
		3	3
		4	4
		5	5
		6	1
		7	2;


param  A:	1	2	3	4:=
		1	1	0	0	0
		2	0	1	0	0
		3	1	0	0	0
		4	0	0	1	0
		5	0	1	0	0
		6	0	0	1	0
		7	1	0	0	0
		8	0	0	0	1;

param  B:	1	2	3	4:=
		1	0	1	0	0
		2	1	0	0	0
		3	0	0	1	0
		4	1	0	0	0
		5	0	0	1	0
		6	0	1	0	0
		7	0	0	0	1
		8	1	0	0	0;

param	C :=
		1	2
		2	2
		3	2
		4	2
		5	2
		6	2
		7	3
		8	3;

param	O :=
		1	1
		2	1
		3	1
		4	1
		5	1
		6	1
		7	2
		8	2;

param	L :=
		1	1
		2	1
		3	1
		4	1
		5	1
		6	1
		7	2
		8	2;

		
param	S_M :=
		1	1
		2	1
		3	1
		4	1
		5	1;
		
param	S_C :=
		1	1
		2	1
		3	1
		4	1
		5	1;

param	S_T :=
		1	1
		2	1
		3	2
		4	2
		5	3;

param	S_H :=
		1	1
		2	1
		3	1
		4	1
		5	1;

param	S_W :=
		1	1
		2	2
		3	3
		4	4
		5	5;

param	N_M :=
		1	2
		2	2
		3	2
		4	5;

param	N_C :=
		1	2
		2	0
		3	0
		4	5;

param	N_K :=
		1	2
		2	2
		3	2
		4	5;
